filename,report_type,has_sustainability_section
Arcadis_NV_Arnhem_arcadis-annual-integrated-report-2017---spread_yemy8hop.pdf,integrated report,True
LB_Group_Co_Ltd_NORDLB_Group_Annual_Report_2016_b5ytf1lb.pdf,integrated report,True
Amdocs_Ltd_CSR-ESG-Report-FY2022-June2023-final_slc7etdh.pdf,integrated report,True
Elbit_Systems_Ltd_Elbit_Sustainability_2021_mvin3l2k.pdf,integrated report,True
Diageo_PLC_diageo_corp-cit_2007_final_z818e96y.pdf,sustainability report,True
Bollore_SE_boll_1402284_ra_rse_gb_2013_24_06-mel_gpkagej8.pdf,sustainability report,True
Unknown_20180308-annual-report-incl-sustainability-report-and-corporate-governance-report-2017_yl06bvg4.pdf,integrated report,True
Heidelbergcement_AG_DE0006047004-JA-2020-EQ-E-00_6jmmtpul.pdf,annual report,True
Redrow_PLC_25409_o1m7xr7l.pdf,integrated report,True
AKSA_Aksa-Dogalgaz-Annual-Report-2019_w9j206fd.pdf,integrated report,True
Dundee_Corp_TSX_DPM_2018_q6j2tny0.pdf,sustainability report,True
Glory_Ltd_hbr2022-vikingline-en_up2p7d7z.pdf,sustainability report,True
ShotSpotter_Inc_Presidents-Commission_p163_cuq8ptxw.pdf,other,False
Hindustan_Aeronautics_Limited_Annualreport_22-23_sb86ap4h.pdf,annual report,True
Colgate-Palmolive_Co_sustainability-report-colgate-palmolive-2016_2djnidr3.pdf,integrated report,True
Denso_Ten_Manufacturing_Limited_sustainability_report_2022_en_eu1v3tvc.pdf,integrated report,True
Unknown_9f135965-9913-49c6-bd52-b995562bb427_p58tx5yf.pdf,integrated report,True
Seiko_Holdings_Corp_SEIKO_CSR_2019_en_t3e1ocv7.pdf,other,False
Samsung_Heavy_Industries_Co_Ltd_Samsung_Electronics_Sustainability_Report_2022_3l5f5v52.pdf,sustainability report,True
Talos_Energy_Inc_20210406-Talos-Energy-Annual-Report-vFINAL_svz9x8un.pdf,annual report,False
Unknown_2021-TBG-CSR-Report-1_ysik80ec.pdf,integrated report,True
Unknown_17_Oracle_OpenWorld_Sustainability_Report_MeetGreen_6p5077lr.pdf,sustainability report,True
Origin_Co_Ltd_Origin_SR_FINAL-website_f4bsqdm9.pdf,sustainability report,True
Kier_Group_PLC_2017-cr-report_l5gwer2k.pdf,integrated report,True
Transurban_Group_Sustainability-Report-2006_hzh9jse8.pdf,sustainability report,True
Billerud_AB_publ_20220408-billerudkorsnas-annual-and-sustainability-report-2021-en-0-4233775_2hiw1ze5.pdf,integrated report,True
Unknown_20220412_212602_CHZ_CM2LGLZYGUI1GV3K1_ku3v3l5f.pdf,integrated report,True
IGM_Financial_Inc_CorporateResponsibilityReport_IGMFinancialInc_EN_yzfzihgo.pdf,integrated report,True
Unknown_2021-03-12_standing_up_for_a_sustainable_world_creative_commons_sc7o9kix.pdf,other,True
DCM_Shriram_Ltd_Annual20Report-20222320FINAL_compressed_9j206fdq.pdf,annual report,False
Ab_Inbev_Si_Limited_AB20InBev_202220ESG20Report_FINAL_ncbtav56.pdf,integrated report,True
McCormick__Co_Inc_3947ee70-7cb8-4ed3-83c3-1a80a96f2f00_pkwn253h.pdf,sustainability report,True
Gentherm_Inc_ESG20Statement_lfonvnuc.pdf,sustainability report,True
Metro_Holdings_Ltd_OTC_MTAGF_2012_lfvzdjwm.pdf,integrated report,True
Arbonia_AG_afg_2011_geschaeftsbericht_en_zkpyg1uu.pdf,annual report,True
Global_Blue_France_canon-sus-2022-e_5bthbb8l.pdf,integrated report,True
CF_Industries_Holdings_Inc_ar2011_4ocuzeva.pdf,annual report,False
Manappuram_Finance_Ltd_annual_report_14_15_xljehnr9.pdf,annual report,False
LICT_Corp_LICT_2020_Annual_Report_o9kixm47.pdf,integrated report,True
Kingfisher_PLC_annual_report_2010pdfdownloadasset_4fchki1m.pdf,annual report,False
Unknown_2936_CSR_Booklet_ONLINE_EN_3ynxs1dr.pdf,integrated report,True
Alten_Boulogne-Billancourt_2010-Registration-document-Alten_7c48n7de.pdf,integrated report,True
Electrocomponents_PLC_LSE_ECM_2012_hu1iicx6.pdf,integrated report,True
KeyCorp_2018-CR-report_052019_drvv30t9.pdf,integrated report,True
Sanlam_Ltd_Sanlam-ClimateWise-Report-2020_wbb9x2n9.pdf,sustainability report,True
Storebrand_ASA_2004-annual-report-storebrand-asa_6kpfstkf.pdf,annual report,False
SLM_Solutions_Group_AG_Environmental_Report_21_0201_i63v534u.pdf,sustainability report,True
Unknown_AAU_Campus_Climate_Survey_12_14_15_q0lmc6ay.pdf,other,False
Unknown_23-06-06_Immobilienmarktbericht_2023_EN_BF_dbncbtav.pdf,integrated report,True
Unknown_2020_environment_report_rvy6a7jg.pdf,integrated report,True
Edwards_Lifesciences_Corp_2011report_prxi68xg.pdf,other,False
Doosan_Corp_05805f9a-db52-4e3a-8957-4b857806d1e3_6uemn179.pdf,integrated report,True
Unknown_379534_q6j2tny0.pdf,integrated report,True
Alexander__Baldwin_Inc_AB_Corporate-Responsibility-Report-Aug-2021_Final_0u5ay38z.pdf,integrated report,True
Salmar_ASA_salmar-asa_2014_v63hkr0k.pdf,annual report,True
Gail_India_Ltd_Annual_Report_2017_18_7jyea72d.pdf,other,False
Bollore_SE_1603124_bollore_rse_gb_2015_mel-21062016_glmflqfk.pdf,sustainability report,True
Unknown_35841919_qtv4q0pe.pdf,sustainability report,True
DMG_Mori_Co_Ltd_dmg-mori-seiki-ag_2017_et28yf7l.pdf,integrated report,True
PT_Indocement_Tunggal_Prakarsa__TBK_2012-Laporan20Tahunan_t3b5ytf1.pdf,integrated report,True
Unknown_2015e_all_yoox8j0o.pdf,sustainability report,True
Alibaba_Pictures_Group_Ltd_E99984E4BBB6E4BA8C-2019-20-annual-report_ebl1b3cl.pdf,integrated report,True
Nissin_Foods_Co_Ltd_nr_2022_8byy188r.pdf,integrated report,True
Hill-Rom_Holdings_Inc_Corporate20Social20Investment20Report20FINAL_32202020APR48901_4c1rv2q8.pdf,sustainability report,True
Cranswick_PLC_LSE_CWK_2018_36f6uql9.pdf,integrated report,True
Diebold_Nixdorf_Inc_99-nfb-en-dn-ag-2018-incl-limited-assurance-report-kpmg_gd0ehiwo.pdf,sustainability report,True
Nankai_Tatsumura_Construction_Co_Ltd_kankyo2021_eng_p97kq953.pdf,integrated report,True
TechnipFMC_plc_2014-reference-document-annual-report-id97_iqz13s19.pdf,annual report,True
Unknown_2021032500821_uukj8xtv.pdf,integrated report,True
Unknown_201603155521-1_0fo3aveg.pdf,integrated report,True
Kirkland_Lake_Gold_Ltd_Stawell_2016_yo0792x1.pdf,other,False
Unknown_2021_annual_report_agrll1p8.pdf,integrated report,True
Majesco_NYSE_MJCO_2019_nymj6mmx.pdf,annual report,False
Duni_AB_duni-ab_2018_aosffly1.pdf,annual report,True
Sky_PLC_annual-report-spreads-2015_52ipwujn.pdf,annual report,True
Suzlon_Energy_Ltd_12_13AnnualReport1011_4nllsl2q.pdf,annual report,False
Suntory_Beverage_Service_Limited_suntory_EN_2022_axj6ubbn.pdf,sustainability report,True
Unknown_1210047282_qufbc03n.pdf,integrated report,True
ICICI_Lombard_General_Insurance_Company_Limited_annualreportfy2020_967kmrrw.pdf,integrated report,True
Societe_Generale_Group_Societe20Generale20Document20de20reference202009_Avec20Rectificatif_gb_1mjmv7vs.pdf,integrated report,True
Ncc_AB_ncc-annual-and-sustainability-report-2022_345af9zq.pdf,integrated report,True
Unknown_110101_2011CSR_E_ydr0dcxs.pdf,sustainability report,True
Mainfreight_Ltd_2012_Annual_Report_i45v9nlv.pdf,annual report,False
Nissin_Food_Hldgs_Co_Ltd_anr_0903_01_r2swcp00.pdf,other,True
PT_Surya_Citra_Media_TBK_15_tdwkk4vc.pdf,annual report,False
Unknown_23321_sw23cerx.pdf,integrated report,True
Unknown_20181206_RS_Aquafil_ENG_2017_def_qcghobt1.pdf,sustainability report,True
Elecnor_SA_Madrid_elecnor-2020-cuentas-anuales-ingles_d715v82t.pdf,annual report,False
Schnitzer_Steel_Industries_Inc_Sustainability-Report-FY2017-2018_xes1zr7b.pdf,sustainability report,True
Dometic_Group_AB_2012_dometic_annual_report_en_rfwsq5n8.pdf,integrated report,True
SATS_Ltd_sats-sustainability-report_88g98j6g.pdf,ERROR: Expecting value: line 1 column 1 (char 0),
LIXIL_Corporation_LIXIL_csr_2013e_4kg372wg.pdf,sustainability report,True
Porsche_Automobil_Holding_SE_Annual_Report_EN_2011_klmes33m.pdf,annual report,True
Royal_Unibrew_royal-unibrew_2011_cb0lp84p.pdf,annual report,True
Hess_Midstream_LP_hess-2022-sustainability-report_s4s4wyrl.pdf,integrated report,True
Shin-Etsu_Polymer_Co_Ltd_report_en_2021_xmcnh296.pdf,integrated report,True
Haier_Smart_Home_Co_Ltd_2021061000804_5tvqb9kq.pdf,integrated report,True
Unknown_2019-ESG-ENVMT-EN_mv35hv07.pdf,sustainability report,True
Ecopro_BM_Co_Ltd_2022_EcoPro_BM_Sustainability_ReportENG_58hxhmts.pdf,integrated report,True
Bridgestone_Corp_BS_EnvReport2013_20q9kca2.pdf,sustainability report,True
Santander_Holdings_USA_Inc_ifa-2021-consolidated-annual-financial-report-en_6hvvmaxj.pdf,integrated report,True
Rogers_Wireless_Communications_Inc_2014-rogers-csr-report_EN_wogyafgd.pdf,sustainability report,True
Astral_Foods_Ltd_Astral20AR20201620WEB_wlkkscwl.pdf,integrated report,True
Indusind_BankIndia_Business-Responsibility-and-Sustainability-Report-BRSR-FY2021-22_xw1dg5fb.pdf,ERROR: Expecting value: line 1 column 1 (char 0),
Hong_Kong_Exchanges_and_Clearing_Limited_e160321csr_yuridi6k.pdf,integrated report,True
EnWave_Corp_enwave_esg_report_2019_v9q9c5ed.pdf,integrated report,True
Unknown_77888-15Co-17992128H21456586240H-Gl_bfn6hiad.pdf,sustainability report,True
Unknown_2016-Registration-Document-and-Annual-Financial-Report-HD_j9qojjae.pdf,integrated report,True
Siemens_Healthineers_AG_sustainability2021-en_xilv9oij.pdf,integrated report,True
United_Breweries_Limited_CSR20Report202017_v3quqwha.pdf,sustainability report,True
Unknown_75068-financial-performance-report-2021-version-mise-en-ligne_xnm18izk.pdf,integrated report,True
Unknown_78692-15Su-23135448Q8902111192J-Gl_4629sebp.pdf,sustainability report,True
Unknown_8177_Roxgold_2018_Sustainability_Summary_FNL-400_nirnol5g.pdf,integrated report,True
Grupa_Azoty_SA_Directors20report20on20the20operations20of20Grupa20Azoty202018_l7f31qj8.pdf,annual report,False
Unknown_2012_27tj3yg2.pdf,annual report,True
Alten_Boulogne-Billancourt_registration-document-alten-2014_764u2ve4.pdf,integrated report,True
Kotak_Mahindra_Bank_Ltd_Business-Responsibility-Report-BRR-FY-15-16_8dpqz9n0.pdf,integrated report,True
Unknown_2017_ar_csr_e_nr9i80sd.pdf,integrated report,True
St_James_Place_SJH20Annual20Report20199920-20English_v124agxh.pdf,annual report,False
Unknown_2017-1820Ranken20Annual20Report_9geovmr9.pdf,other,False
Cochlear_Ltd_listen20learn20and20talk20cochlear_lsrvp33z.pdf,other,False
Shangri-La_Asia_Ltd_LTN20150424664_phebvw27.pdf,annual report,False
PT_Astra_Agro_Lestari__TBK_Laporan-Keberlanjutan-Sustainability-Report-2016_smuwywrj.pdf,integrated report,True
Addtech_AB_Addtech-Annual-Report-2021-2022_aupkwn25.pdf,integrated report,True
Cargojet_Inc_CargoJet-ESG-Report-_-Updated-Deb-28-2022v2_tsg4rwam.pdf,sustainability report,True
Check_Point_Software_Technologies_Ltd_2014-CHKP-form-20F_def5ktu1.pdf,annual report,False
Canon_Inc_canon-sus-2020-e_5c96rsg3.pdf,integrated report,True
Unknown_2021-Sustainability-Report---EN_ltadvzz6.pdf,integrated report,True
JEP_Holdings_Ltd_710038_JEP20Holdings20Ltd20Annual20Report202021_3ik4myff.pdf,annual report,True
Unknown_15pdf_79mnhrdj.pdf,other,True
Unknown_2021-22-annual-report_mn9nc3bs.pdf,annual report,True
Sagami_Holdings_Corp_integrated-report-2022-e_97j9g65v.pdf,integrated report,True
Codan_Ltd_Trygg-Hansa_ANNUAL_REPORT_2013_b6athdy4.pdf,annual report,False
Axfood_AB_R-Policies-to-PNC-waterland_sq5n8iz4.pdf,integrated report,True
Alcoa_Inc_2017-Sustainability-Report_uu0ohm6g.pdf,integrated report,True
Smartgroup_Corporation_Ltd_SG_Annual_Report_2018_wnrih4sp.pdf,integrated report,True
METRO_BRANDS_LIMITED_2022-cr-report_3st16y0y.pdf,sustainability report,True
Unknown_2012_MENA_CSOSI_b0lp84pr.pdf,sustainability report,True
Scotts_Miracle-Gro_Co_The_CorpResp2014_sptwpx0s.pdf,integrated report,True
Unknown_9029775_fytgoocx.pdf,sustainability report,True
TIM_AG_TIM-Sustainability-Report-NFS-2018_5469j4ov.pdf,sustainability report,True
Unknown_adbi-managing-transition-low-carbon-economy_087is5zy.pdf,other,False
Dufry_AG_AR_2010_CR_i5a1tlz9.pdf,annual report,False
Unknown_79c2f64b-b440-17e8-4be8-83a08989fceb_kg923l9h.pdf,other,False
Unknown_2023042001467_glmflqfk.pdf,integrated report,True
COSCO_SHIPPING_Ports_Limited_quality2021en_j27jgmh6.pdf,sustainability report,True
Unknown_0720_FAO_Shifting_cultivation_livelihoodfood_security_j6g4r7xy.pdf,other,False
Unknown_2014SustainRpt_FNL_lr_7mrwsfm7.pdf,other,False
Fletcher_Building_Ltd_2009-FBL-Annual-Report_s6yf5vt0.pdf,annual report,False
Unknown_202146150335_p2ttj7np.pdf,integrated report,True
Cairn_India_5327920315_kutyl2yz.pdf,annual report,False
Hang_Lung_Properties_Ltd_sr-2014_tnbslc7e.pdf,sustainability report,True
CR_Holdings_Co_Ltd_PVH-CR-Report-2022_5i9ni2v1.pdf,integrated report,True
Cementir_Holding_Nv_CH_Sustainability20Report202020_final_gntwonez.pdf,sustainability report,True
Goodyear_Tire__Rubber_Co_202120Goodyear20Corporate20Responsibility20Reportpdfcoredownload_05nexes1.pdf,integrated report,True
Unknown_2020-2021-Annual-Report-Rutgers-Global-Health-Institute_ap4hsdf7.pdf,sustainability report,True
Unknown_2021_katsudo_Eng_all_tectedgm.pdf,other,False
Comerica_Incorporated_comerica-corporateresponsibility-report_sf93z8w3.pdf,sustainability report,True
Unknown_2021_3k1viz68.pdf,annual report,False
The_Navigator_Company_SA_eba0068cc12ab76af09b5da0a403df27_gshzim52.pdf,integrated report,True
Federal_Bank_Ltd_f072c0b9-1ce1-40f7-8987-1ef1b9d35268_ucjymr1c.pdf,sustainability report,True
Lumax_Industries_Ltd_Annual-Report-2022-23_15yszhjo.pdf,annual report,True
Kotak_Mahindra_Bank_Ltd_Business-Responsibility-Report-BRR-FY-16-17_n7y5sr5j.pdf,integrated report,True
Unknown_2022-annual-report_19geovmr.pdf,other,False
Unknown_2021_ManagementReportEng_q8v96gxz.pdf,integrated report,True
Dustin_Group_AB_publ_202311081055-1_pb0p0snl.pdf,integrated report,True
AYM_Syntex_Ltd_annual-report-1057972342-ar-report-aym-final-21-22_jwmhiojn.pdf,integrated report,True
Borosil_Limited_BRL_AR_2023_e19geovm.pdf,integrated report,True
Unknown_about_2005_Annual_Report_0915_s8leop7w.pdf,annual report,False
SIG_PLC_LSE_SHI_2009_9zo7iib7.pdf,integrated report,True
PT_Pakuwon_Jati_5eb0c0695bc86-pt-pakuwon-jati-annual-rep_nt9nyq56.pdf,annual report,False
Unknown_2022042101886_dfrdgc19.pdf,annual report,True
Kubota_Corp_report2018_6fr1g0m0.pdf,integrated report,True
Brickworks_Ltd_ASX_BKW_2010_xq9s9bxd.pdf,annual report,False
Foxconn_Industrial_Internet_Co_Ltd_201720CSR20report_6ngm5u0p.pdf,integrated report,True
HSBC_Bank_Canada_230221-esg-review-2022_ov81gl1s.pdf,integrated report,True
GS_Yuasa_Corp_GS_Yuasa_Report_2019e_j1kdtr9z.pdf,integrated report,True
Unknown_11001_076vxeaw.pdf,sustainability report,True
AIB_Group_PLC_annual-financial-report-2010_nzf6dpw1.pdf,annual report,False
Fosun_International_Ltd_e_00656_esg-report-2022_10d4g0jb.pdf,integrated report,True
Allied_SA_g4s_annual_report_2020_9z6t3h5o.pdf,annual report,True
LG_HH_Co_Ltd_2020_LG_HH_CSR_en_low_jxou0yl7.pdf,integrated report,True
Simona_AG_SIMONA_2021_GB21_englisch_54emvime.pdf,ERROR: Expecting value: line 1 column 1 (char 0),
Rite_Aid_Corp_19_RA_007297_Sustainability_Report_3A_MOD_View_For_Web_8sprukw5.pdf,sustainability report,True
Colgate-Palmolive_Co_sustainability-report-colgate-palmolive-2014_lnigk1q3.pdf,integrated report,True
Avid_Technology_Inc_2b0ed61d-db28-4cf5-84ff-55c0aa584c75_oxrdbayo.pdf,sustainability report,True
Jubilee_Metals_Group_PLC_Jubilee-Annual-Report_WEB_xmcnh296.pdf,integrated report,True
India_Nippon_Electricals_annual_report_2021_22_d523ze7c.pdf,annual report,False
Adcorp_Holdings_2011_cx65t515.pdf,integrated report,True
Covestro_AG_covestro-ag_2018_n2vnbgbm.pdf,integrated report,True
Alliant_Energy_Corporation_NYSE_LNT_2013_ixx9hy9w.pdf,annual report,True
Gulf_Power_Co_202020NEE20ESG20Report_nflt1xh3.pdf,sustainability report,True
Unisys_Corp_ir2016_e_hiojnj0l.pdf,integrated report,True
Unknown_20200420_TAQA-2019-Annual-Report-En-vWeb-A3_iino7651.pdf,integrated report,True
Unknown_920_i6sqmyk6.pdf,sustainability report,True
Calavo_Growers_Inc_CalavoESG_FIN_aa4djrki.pdf,integrated report,True
Unknown_7Seventh-Annual-Report-on-the-Implementation-of-Community-Corrections-Partnership-Plans_yrcq65qf.pdf,other,False
United_Airlines__Inc_United-Corporate-Responsibility-summary_kteaqqs5.pdf,integrated report,True
Greggs_plc_Greggs_ARA_2020_1_5lqkzwoj.pdf,annual report,True
Cegedim_SA_CEGEDIM_URD_2020_EN_Version_PDF_MEL_OPTI_ews3ardc.pdf,integrated report,True
